id,name,interpretation,confidence_label,match_score,source,panel
pattern_cbc_cbc_demo_cases_cbc_demo_hypochromic_anemia,hypochromic_anemia,Low MCH (21 pg) and MCHC (306 g/L) with HGB 105 g/L indicates hypochromic anemia – iron deficiency or thalassemia are primary differentials; serum ferritin and iron studies recommended,high,1.0,cbc_demo_cases,CBC
pattern_cbc_rule_viral_infection_pattern,Viral infection pattern,"Lymphocytosis, sometimes with low WBC, may suggest viral infection pattern.",,0.6,panel_rule,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_significant_basophilia,significant_basophilia,BASO% 2.5% is markedly elevated – significant basophilia in the context of anemia and thrombocytosis should raise suspicion for chronic myeloid leukemia (CML) or other myeloproliferative neoplasm,medium,0.8,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_concurrent_anemia_myeloproliferative,concurrent_anemia_myeloproliferative,"The combination of microcytic anemia, reactive thrombocytosis, elevated basophils, and borderline lymphocytosis may represent a myeloproliferative process coexisting with iron deficiency",medium,0.7,cbc_demo_cases,CBC
pattern_biochem_rule_renal_impairment_pattern,Renal impairment pattern,"High creatinine, often with high urea or potassium, suggests impaired renal function.",,0.6,panel_rule,BIOCHEM
pattern_biochem_biochem_patterns_single_biochem_single_urea_high,Tăng urê máu (Azotemia),"Urê là sản phẩm thoái hóa protein, được thận lọc và bài tiết. Tăng urê phản ánh giảm chức năng lọc cầu thận hoặc tăng sản xuất từ dị hóa protein.",high,0.85,biochem_patterns_single,BIOCHEM
pattern_biochem_biochem_patterns_single_biochem_single_creatinine_high,Tăng creatinine máu,"Creatinine là marker tin cậy hơn urê để đánh giá GFR. Tăng creatinine gợi ý giảm lọc cầu thận thực sự, ít bị ảnh hưởng bởi chế độ ăn hơn urê.",high,0.85,biochem_patterns_single,BIOCHEM
pattern_biochem_biochem_patterns_single_biochem_single_k_high,Tăng kali máu (Hyperkalemia),"Hyperkalemia ảnh hưởng điện thế màng tế bào cơ tim, gây rối loạn nhịp nghiêm trọng. Cần loại trừ giả tăng (tan máu mẫu, tăng tiểu cầu) trước khi xử trí.",high,0.85,biochem_patterns_single,BIOCHEM
pattern_biochem_biochem_patterns_combo_renal_failure_pattern,Hội chứng suy thận,Tăng đồng thời UREA và CREATININE gợi ý giảm chức năng lọc cầu thận (azotemia). Cần phân biệt AKI (tăng cấp) vs CKD (tăng mạn).,medium,0.333,biochem_patterns_combo,BIOCHEM
pattern_biochem_rule_diabetes_glycemic_pattern,Diabetes/glycemic abnormality pattern,"High glucose, especially with high HbA1c, suggests abnormal glycemic control.",,0.75,panel_rule,BIOCHEM
pattern_biochem_rule_cardiac_biomarker_pattern,Cardiac biomarker pattern,Elevated cardiac biomarkers suggest myocardial injury or cardiac stress.,,0.6,panel_rule,BIOCHEM
pattern_biochem_biochem_patterns_single_biochem_single_glucose_high,Tăng đường huyết,Tăng glucose máu đói phản ánh suy giảm tiết insulin hoặc kháng insulin. Kết hợp HbA1c để đánh giá kiểm soát đường huyết dài hạn.,high,0.85,biochem_patterns_single,BIOCHEM
pattern_biochem_biochem_patterns_single_biochem_single_alt_high,Tăng ALT,ALT là enzyme đặc hiệu gan hơn AST. Tăng ALT chủ yếu gợi ý tổn thương tế bào gan (hepatocellular). ALT có thể tăng rất cao trong viêm gan cấp do virus.,high,0.85,biochem_patterns_single,BIOCHEM
pattern_biochem_biochem_patterns_single_biochem_single_ck_mb_high,Tăng CK-MB,"CK-MB là isoenzyme cơ tim của creatine kinase. Tăng trong AMI, nhưng ít đặc hiệu hơn Troponin T/I hiện đại.",high,0.85,biochem_patterns_single,BIOCHEM
pattern_biochem_biochem_patterns_single_biochem_single_hba1c_high,HbA1c tăng,HbA1c phản ánh mức đường huyết trung bình trong 2–3 tháng trước. Là tiêu chuẩn vàng theo dõi kiểm soát ĐTĐ dài hạn. Mỗi 1% HbA1c tương đương ~1.6 mmol/L glucose trung bình.,high,0.85,biochem_patterns_single,BIOCHEM
pattern_biochem_biochem_patterns_single_biochem_single_troponin_t_high,Tăng Troponin T,Troponin T là biomarker tổn thương cơ tim đặc hiệu và nhạy nhất hiện nay. Bất kỳ tăng nào trên 99th percentile đều có ý nghĩa.,high,0.85,biochem_patterns_single,BIOCHEM
pattern_biochem_biochem_patterns_combo_diabetic_metabolic_pattern,Hội chứng đái tháo đường kiểm soát kém,Glucose cao và HbA1c tăng xác nhận đái tháo đường kiểm soát kém trong 2–3 tháng qua. Kết hợp rối loạn lipid và suy thận gợi ý biến chứng chuyển hóa.,medium,0.5,biochem_patterns_combo,BIOCHEM
pattern_biochem_biochem_patterns_combo_acute_coronary_syndrome_pattern,Hội chứng vành cấp (ACS) / Tổn thương cơ tim,Troponin T tăng gợi ý tổn thương tế bào cơ tim. Kết hợp với CK-MB tăng và bệnh cảnh lâm sàng đau ngực là nền tảng chẩn đoán ACS.,medium,0.667,biochem_patterns_combo,BIOCHEM
pattern_biochem_biochem_patterns_single_biochem_single_cholesterol_low,Giảm cholesterol,,high,0.85,biochem_patterns_single,BIOCHEM
pattern_biochem_biochem_patterns_single_biochem_single_triglyceride_low,Giảm triglyceride,,high,0.85,biochem_patterns_single,BIOCHEM
pattern_biochem_biochem_patterns_single_biochem_single_ast_high,Tăng AST,"AST có trong nhiều mô: gan, cơ tim, cơ xương, thận. Tăng AST đơn độc có thể do nguồn ngoài gan; cần kết hợp với ALT và bối cảnh lâm sàng.",high,0.85,biochem_patterns_single,BIOCHEM
pattern_biochem_rule_iron_store_pattern,Iron store abnormality pattern,High ferritin may reflect increased iron stores or inflammatory context.,,0.6,panel_rule,BIOCHEM
pattern_biochem_biochem_patterns_single_biochem_single_uric_acid_high,Tăng acid uric máu (Hyperuricemia),"Uric acid là sản phẩm thoái hóa purine. Tăng uric acid mạn tính gây lắng đọng monosodium urate crystals ở khớp (gout) và mô mềm (tophi), có thể gây sỏi thận urate.",high,0.85,biochem_patterns_single,BIOCHEM
pattern_biochem_biochem_patterns_single_biochem_single_ferritin_high,Tăng ferritin máu,Ferritin vừa là protein lưu trữ sắt vừa là reactant pha cấp (acute phase reactant). Tăng ferritin không đồng nghĩa với thừa sắt nếu có viêm đồng thời.,high,0.85,biochem_patterns_single,BIOCHEM
pattern_biochem_biochem_patterns_combo_hyperuricemia_gout_metabolic,Tăng acid uric — Gout / Hội chứng chuyển hóa,"Tăng acid uric thường đi kèm hội chứng chuyển hóa. Kết hợp suy thận làm giảm bài tiết urate, tạo vòng luẩn quẩn.",high,0.8,biochem_patterns_combo,BIOCHEM
pattern_biochem_biochem_patterns_combo_iron_store_abnormality,Rối loạn dự trữ sắt,Ferritin cao gợi ý quá tải sắt hoặc phản ứng viêm. Ferritin thấp là dấu hiệu thiếu sắt dự trữ đặc hiệu.,medium,0.5,biochem_patterns_combo,BIOCHEM
pattern_biochem_rule_dyslipidemia_pattern,Dyslipidemia pattern,Abnormal lipid profile suggests dyslipidemia and cardiovascular risk.,,0.6,panel_rule,BIOCHEM
pattern_biochem_biochem_patterns_single_biochem_single_triglyceride_high,Tăng triglyceride máu (Hypertriglyceridemia),Triglyceride cao là yếu tố nguy cơ tim mạch và ở mức rất cao (>11.3 mmol/L) là nguy cơ viêm tụy cấp.,high,0.85,biochem_patterns_single,BIOCHEM
pattern_biochem_biochem_patterns_single_biochem_single_hdl_c_low,Giảm HDL-C (HDL thấp — yếu tố nguy cơ tim mạch ĐỘC LẬP),"HDL-C thấp làm giảm khả năng vận chuyển cholesterol ngược về gan (reverse cholesterol transport), tăng nguy cơ xơ vữa động mạch.",high,0.85,biochem_patterns_single,BIOCHEM
pattern_biochem_biochem_patterns_single_biochem_single_ldl_c_high,Tăng LDL-C,"LDL-C là lipoprotein chính vận chuyển cholesterol đến mô, là yếu tố nguy cơ xơ vữa động mạch quan trọng nhất có thể điều chỉnh được.",high,0.85,biochem_patterns_single,BIOCHEM
pattern_biochem_biochem_patterns_combo_dyslipidemia_cardiovascular_pattern,Rối loạn lipid máu — Nguy cơ tim mạch cao,"Kết hợp tăng cholesterol/triglyceride với giảm HDL-C và/hoặc tăng LDL-C tạo thành bộ hồ sơ lipid atherogenic, nguy cơ xơ vữa động mạch cao.",high,0.75,biochem_patterns_combo,BIOCHEM
pattern_cbc_cbc_demo_cases_cbc_demo_left_shift_stress_response,left_shift_stress_response,Elevated IG% (0.6%) indicates left shift – bone marrow stress or early infection releasing immature granulocytes into circulation,medium,0.8,cbc_demo_cases,CBC
pattern_biochem_rule_hepatocellular_injury_pattern,Hepatocellular injury pattern,Elevation of ALT and AST suggests hepatocellular injury pattern.,,0.67,panel_rule,BIOCHEM
pattern_biochem_biochem_patterns_single_biochem_single_cholesterol_high,Tăng cholesterol máu (Hypercholesterolemia),"Cholesterol toàn phần bao gồm HDL-C, LDL-C và VLDL-C. Tăng cholesterol là yếu tố nguy cơ tim mạch chính, đặc biệt khi LDL-C tăng và HDL-C thấp.",high,0.85,biochem_patterns_single,BIOCHEM
pattern_biochem_biochem_patterns_combo_liver_injury_pattern,Tổn thương tế bào gan (Hepatocellular injury),Tăng đồng thời AST và ALT gợi ý tổn thương hepatocellular. Tỉ lệ AST/ALT giúp định hướng nguyên nhân.,medium,0.5,biochem_patterns_combo,BIOCHEM
pattern_biochem_biochem_patterns_combo_metabolic_syndrome_pattern,Hội chứng chuyển hóa,"Bộ xét nghiệm gợi ý hội chứng chuyển hóa: đề kháng insulin, rối loạn lipid máu atherogenic, và tăng acid uric. Nguy cơ tim mạch và ĐTĐ type 2 cao.",high,1.0,biochem_patterns_combo,BIOCHEM
pattern_cbc_rule_polycythemia_pattern,Polycythemia pattern,"High HGB/HCT, optionally elevated RBC, suggests polycythemia or erythrocytosis pattern.",,0.83,panel_rule,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_polycythemia,polycythemia,"Elevated RBC, HGB, HCT – possible polycythemia vera or secondary polycythemia (hypoxia, dehydration)",medium,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_polycythemia_erythrocytosis,polycythemia_erythrocytosis,"Elevated RBC (5.61), HGB (162 g/L), and HCT (49.6%) suggest absolute erythrocytosis – polycythemia vera or secondary causes (hypoxia, EPO-secreting tumor) should be considered",high,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_hyperchromic_macrocytic,hyperchromic_macrocytic,Elevated MCH and MCHC suggest hyperchromic red cells – consider macrocytic anemia (B12/folate deficiency) or hereditary spherocytosis,medium,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_relative_neutropenia,relative_neutropenia,"NEUT% below reference range – relative neutropenia, may reflect viral infection or lymphocyte predominance",low,1.0,cbc_demo_cases,CBC
pattern_cbc_cbc_demo_cases_cbc_demo_neutropenia,neutropenia,"Severe neutropenia – risk of bacterial infection; consider drug-induced, autoimmune, or bone marrow failure",high,1.0,cbc_demo_cases,CBC
