id,name,canonical_name
cond_t_ng_creatinine_m_u,t_ng_creatinine_m_u,t_ng_creatinine_m_u
cond_t_ng_kali_m_u_hyperkalemia,t_ng_kali_m_u_hyperkalemia,t_ng_kali_m_u_hyperkalemia
cond_renal_failure_pattern,renal_failure_pattern,renal_failure_pattern
cond_poor_glycemic_control,poor_glycemic_control,poor_glycemic_control
cond_t_ng_ng_huy_t,t_ng_ng_huy_t,t_ng_ng_huy_t
cond_t_ng_alt,t_ng_alt,t_ng_alt
cond_t_ng_ck_mb,t_ng_ck_mb,t_ng_ck_mb
cond_hba1c_t_ng,hba1c_t_ng,hba1c_t_ng
cond_t_ng_troponin_t,t_ng_troponin_t,t_ng_troponin_t
cond_diabetic_metabolic_pattern,diabetic_metabolic_pattern,diabetic_metabolic_pattern
cond_acute_coronary_syndrome_pattern,acute_coronary_syndrome_pattern,acute_coronary_syndrome_pattern
cond_gi_m_cholesterol,gi_m_cholesterol,gi_m_cholesterol
cond_gi_m_triglyceride,gi_m_triglyceride,gi_m_triglyceride
cond_t_ng_ast,t_ng_ast,t_ng_ast
cond_inflammatory_iron_pattern,inflammatory_iron_pattern,inflammatory_iron_pattern
cond_t_ng_acid_uric_m_u_hyperuricemia,t_ng_acid_uric_m_u_hyperuricemia,t_ng_acid_uric_m_u_hyperuricemia
cond_t_ng_ferritin_m_u,t_ng_ferritin_m_u,t_ng_ferritin_m_u
cond_hyperuricemia_gout_metabolic,hyperuricemia_gout_metabolic,hyperuricemia_gout_metabolic
cond_t_ng_triglyceride_m_u_hypertriglyceridemia,t_ng_triglyceride_m_u_hypertriglyceridemia,t_ng_triglyceride_m_u_hypertriglyceridemia
cond_gi_m_hdl_c_hdl_th_p_y_u_t_nguy_c_tim_m_ch_c_l_p,gi_m_hdl_c_hdl_th_p_y_u_t_nguy_c_tim_m_ch_c_l_p,gi_m_hdl_c_hdl_th_p_y_u_t_nguy_c_tim_m_ch_c_l_p
cond_t_ng_ldl_c,t_ng_ldl_c,t_ng_ldl_c
cond_dyslipidemia_cardiovascular_pattern,dyslipidemia_cardiovascular_pattern,dyslipidemia_cardiovascular_pattern
cond_t_ng_cholesterol_m_u_hypercholesterolemia,t_ng_cholesterol_m_u_hypercholesterolemia,t_ng_cholesterol_m_u_hypercholesterolemia
cond_liver_injury_pattern,liver_injury_pattern,liver_injury_pattern
cond_metabolic_syndrome_pattern,metabolic_syndrome_pattern,metabolic_syndrome_pattern
cond_erythrocytosis,erythrocytosis,erythrocytosis
cond_polycythemia_erythrocytosis,polycythemia_erythrocytosis,polycythemia_erythrocytosis
cond_hyperchromic_macrocytic,hyperchromic_macrocytic,hyperchromic_macrocytic
cond_relative_neutropenia,relative_neutropenia,relative_neutropenia
