canonical_name,description,display_name,evidence_type,id,kind,name,node_type,page,panel,pattern_id,score,source,status,test_code,text,trust
,,,,test:na,,Sodium,Test,,BIOCHEM,,,,,NA,,
,,,,finding_concept:biochem:na:high,,NA high,FindingConcept,,BIOCHEM,,,,high,NA,,
,,,,finding_concept:biochem:na:low,,NA low,FindingConcept,,BIOCHEM,,,,low,NA,,
,,,,test:k,,Potassium,Test,,BIOCHEM,,,,,K,,
,,,,finding_concept:biochem:k:high,,K high,FindingConcept,,BIOCHEM,,,,high,K,,
,,,,finding_concept:biochem:k:low,,K low,FindingConcept,,BIOCHEM,,,,low,K,,
,,,,test:cl,,Chloride,Test,,BIOCHEM,,,,,CL,,
,,,,finding_concept:biochem:cl:high,,CL high,FindingConcept,,BIOCHEM,,,,high,CL,,
,,,,finding_concept:biochem:cl:low,,CL low,FindingConcept,,BIOCHEM,,,,low,CL,,
,,,,test:glucose,,Glucose,Test,,BIOCHEM,,,,,GLUCOSE,,
,,,,finding_concept:biochem:glucose:high,,GLUCOSE high,FindingConcept,,BIOCHEM,,,,high,GLUCOSE,,
,,,,finding_concept:biochem:glucose:low,,GLUCOSE low,FindingConcept,,BIOCHEM,,,,low,GLUCOSE,,
,,,,test:hba1c,,Hemoglobin A1c,Test,,BIOCHEM,,,,,HBA1C,,
,,,,finding_concept:biochem:hba1c:high,,HBA1C high,FindingConcept,,BIOCHEM,,,,high,HBA1C,,
,,,,finding_concept:biochem:hba1c:low,,HBA1C low,FindingConcept,,BIOCHEM,,,,low,HBA1C,,
,,,,test:cholesterol,,Total Cholesterol,Test,,BIOCHEM,,,,,CHOLESTEROL,,
,,,,finding_concept:biochem:cholesterol:high,,CHOLESTEROL high,FindingConcept,,BIOCHEM,,,,high,CHOLESTEROL,,
,,,,finding_concept:biochem:cholesterol:low,,CHOLESTEROL low,FindingConcept,,BIOCHEM,,,,low,CHOLESTEROL,,
,,,,test:triglyceride,,Triglyceride,Test,,BIOCHEM,,,,,TRIGLYCERIDE,,
,,,,finding_concept:biochem:triglyceride:high,,TRIGLYCERIDE high,FindingConcept,,BIOCHEM,,,,high,TRIGLYCERIDE,,
,,,,finding_concept:biochem:triglyceride:low,,TRIGLYCERIDE low,FindingConcept,,BIOCHEM,,,,low,TRIGLYCERIDE,,
,,,,test:hdl_c,,HDL Cholesterol,Test,,BIOCHEM,,,,,HDL_C,,
,,,,finding_concept:biochem:hdl_c:high,,HDL_C high,FindingConcept,,BIOCHEM,,,,high,HDL_C,,
,,,,finding_concept:biochem:hdl_c:low,,HDL_C low,FindingConcept,,BIOCHEM,,,,low,HDL_C,,
,,,,test:ldl_c,,LDL Cholesterol,Test,,BIOCHEM,,,,,LDL_C,,
,,,,finding_concept:biochem:ldl_c:high,,LDL_C high,FindingConcept,,BIOCHEM,,,,high,LDL_C,,
,,,,finding_concept:biochem:ldl_c:low,,LDL_C low,FindingConcept,,BIOCHEM,,,,low,LDL_C,,
,,,,test:ck_mb,,CK-MB,Test,,BIOCHEM,,,,,CK_MB,,
,,,,finding_concept:biochem:ck_mb:high,,CK_MB high,FindingConcept,,BIOCHEM,,,,high,CK_MB,,
,,,,finding_concept:biochem:ck_mb:low,,CK_MB low,FindingConcept,,BIOCHEM,,,,low,CK_MB,,
,,,,test:troponin_t,,Troponin T,Test,,BIOCHEM,,,,,TROPONIN_T,,
,,,,finding_concept:biochem:troponin_t:high,,TROPONIN_T high,FindingConcept,,BIOCHEM,,,,high,TROPONIN_T,,
,,,,finding_concept:biochem:troponin_t:low,,TROPONIN_T low,FindingConcept,,BIOCHEM,,,,low,TROPONIN_T,,
,,,,test:pro_bnp,,Pro-BNP,Test,,BIOCHEM,,,,,PRO_BNP,,
,,,,finding_concept:biochem:pro_bnp:high,,PRO_BNP high,FindingConcept,,BIOCHEM,,,,high,PRO_BNP,,
,,,,finding_concept:biochem:pro_bnp:low,,PRO_BNP low,FindingConcept,,BIOCHEM,,,,low,PRO_BNP,,
,,,,test:ferritin,,Ferritin,Test,,BIOCHEM,,,,,FERRITIN,,
,,,,finding_concept:biochem:ferritin:high,,FERRITIN high,FindingConcept,,BIOCHEM,,,,high,FERRITIN,,
,,,,finding_concept:biochem:ferritin:low,,FERRITIN low,FindingConcept,,BIOCHEM,,,,low,FERRITIN,,
,,,,test:albumin,,Albumin,Test,,BIOCHEM,,,,,ALBUMIN,,
,,,,finding_concept:biochem:albumin:high,,ALBUMIN high,FindingConcept,,BIOCHEM,,,,high,ALBUMIN,,
,,,,finding_concept:biochem:albumin:low,,ALBUMIN low,FindingConcept,,BIOCHEM,,,,low,ALBUMIN,,
,,,,test:calcium_ion,,Ionized Calcium,Test,,BIOCHEM,,,,,CALCIUM_ION,,
,,,,finding_concept:biochem:calcium_ion:high,,CALCIUM_ION high,FindingConcept,,BIOCHEM,,,,high,CALCIUM_ION,,
,,,,finding_concept:biochem:calcium_ion:low,,CALCIUM_ION low,FindingConcept,,BIOCHEM,,,,low,CALCIUM_ION,,
,,,,test:pth,,Parathyroid Hormone,Test,,BIOCHEM,,,,,PTH,,
,,,,finding_concept:biochem:pth:high,,PTH high,FindingConcept,,BIOCHEM,,,,high,PTH,,
,,,,finding_concept:biochem:pth:low,,PTH low,FindingConcept,,BIOCHEM,,,,low,PTH,,
,,,,test:uric_acid,,Uric Acid,Test,,BIOCHEM,,,,,URIC_ACID,,
,,,,finding_concept:biochem:uric_acid:high,,URIC_ACID high,FindingConcept,,BIOCHEM,,,,high,URIC_ACID,,
,,,,finding_concept:biochem:uric_acid:low,,URIC_ACID low,FindingConcept,,BIOCHEM,,,,low,URIC_ACID,,
,"Low hemoglobin with low MCV, often with high RDW, suggests a microcytic anemia pattern.",,,pattern:microcytic_anemia_pattern,,Microcytic anemia pattern,Pattern,,CBC,microcytic_anemia_pattern,,panel_rule,,,,
microcytic_anemia,,,,condition:microcytic_anemia,,microcytic_anemia,Condition,,,,,,,,,
iron_deficiency_anemia,,,,condition:iron_deficiency_anemia,,iron_deficiency_anemia,Condition,,,,,,,,,
,Low hemoglobin with elevated MCV suggests a macrocytic anemia pattern.,,,pattern:macrocytic_anemia_pattern,,Macrocytic anemia pattern,Pattern,,CBC,macrocytic_anemia_pattern,,panel_rule,,,,
macrocytic_anemia,,,,condition:macrocytic_anemia,,macrocytic_anemia,Condition,,,,,,,,,
b12_or_folate_related_anemia,,,,condition:b12_or_folate_related_anemia,,b12_or_folate_related_anemia,Condition,,,,,,,,,
,"High WBC with neutrophilia, optionally immature granulocytes, suggests bacterial infection or inflammatory stress.",,,pattern:bacterial_infection_pattern,,Bacterial infection pattern,Pattern,,CBC,bacterial_infection_pattern,,panel_rule,,,,
bacterial_infection,,,,condition:bacterial_infection,,bacterial_infection,Condition,,,,,,,,,
infection,,,,condition:infection,,infection,Condition,,,,,,,,,
left_shift_stress_response,,,,condition:left_shift_stress_response,,left_shift_stress_response,Condition,,,,,,,,,
,"Lymphocytosis, sometimes with low WBC, may suggest viral infection pattern.",,,pattern:viral_infection_pattern,,Viral infection pattern,Pattern,,CBC,viral_infection_pattern,,panel_rule,,,,
viral_infection,,,,condition:viral_infection,,viral_infection,Condition,,,,,,,,,
lymphocytosis,,,,condition:lymphocytosis,,lymphocytosis,Condition,,,,,,,,,
,Low platelet count suggests thrombocytopenia pattern and possible bleeding risk context.,,,pattern:thrombocytopenia_pattern,,Thrombocytopenia pattern,Pattern,,CBC,thrombocytopenia_pattern,,panel_rule,,,,
thrombocytopenia,,,,condition:thrombocytopenia,,thrombocytopenia,Condition,,,,,,,,,
bleeding_risk,,,,condition:bleeding_risk,,bleeding_risk,Condition,,,,,,,,,
,"High HGB/HCT, optionally elevated RBC, suggests polycythemia or erythrocytosis pattern.",,,pattern:polycythemia_pattern,,Polycythemia pattern,Pattern,,CBC,polycythemia_pattern,,panel_rule,,,,
polycythemia,,,,condition:polycythemia,,polycythemia,Condition,,,,,,,,,
erythrocytosis,,,,condition:erythrocytosis,,erythrocytosis,Condition,,,,,,,,,
,Elevation of ALT and AST suggests hepatocellular injury pattern.,,,pattern:hepatocellular_injury_pattern,,Hepatocellular injury pattern,Pattern,,BIOCHEM,hepatocellular_injury_pattern,,panel_rule,,,,
hepatocellular_injury,,,,condition:hepatocellular_injury,,hepatocellular_injury,Condition,,,,,,,,,
liver_injury,,,,condition:liver_injury,,liver_injury,Condition,,,,,,,,,
,"High creatinine, often with high urea or potassium, suggests impaired renal function.",,,pattern:renal_impairment_pattern,,Renal impairment pattern,Pattern,,BIOCHEM,renal_impairment_pattern,,panel_rule,,,,
renal_impairment,,,,condition:renal_impairment,,renal_impairment,Condition,,,,,,,,,
reduced_kidney_function,,,,condition:reduced_kidney_function,,reduced_kidney_function,Condition,,,,,,,,,
,"Abnormal sodium, potassium, or chloride suggests electrolyte disorder.",,,pattern:electrolyte_disorder_pattern,,Electrolyte disorder pattern,Pattern,,BIOCHEM,electrolyte_disorder_pattern,,panel_rule,,,,
electrolyte_disorder,,,,condition:electrolyte_disorder,,electrolyte_disorder,Condition,,,,,,,,,
,"High glucose, especially with high HbA1c, suggests abnormal glycemic control.",,,pattern:diabetes_glycemic_pattern,,Diabetes/glycemic abnormality pattern,Pattern,,BIOCHEM,diabetes_glycemic_pattern,,panel_rule,,,,
hyperglycemia,,,,condition:hyperglycemia,,hyperglycemia,Condition,,,,,,,,,
diabetes_risk,,,,condition:diabetes_risk,,diabetes_risk,Condition,,,,,,,,,
poor_glycemic_control,,,,condition:poor_glycemic_control,,poor_glycemic_control,Condition,,,,,,,,,
,Abnormal lipid profile suggests dyslipidemia and cardiovascular risk.,,,pattern:dyslipidemia_pattern,,Dyslipidemia pattern,Pattern,,BIOCHEM,dyslipidemia_pattern,,panel_rule,,,,
dyslipidemia,,,,condition:dyslipidemia,,dyslipidemia,Condition,,,,,,,,,
cardiovascular_risk,,,,condition:cardiovascular_risk,,cardiovascular_risk,Condition,,,,,,,,,
,Elevated cardiac biomarkers suggest myocardial injury or cardiac stress.,,,pattern:cardiac_biomarker_pattern,,Cardiac biomarker pattern,Pattern,,BIOCHEM,cardiac_biomarker_pattern,,panel_rule,,,,
myocardial_injury,,,,condition:myocardial_injury,,myocardial_injury,Condition,,,,,,,,,
cardiac_stress,,,,condition:cardiac_stress,,cardiac_stress,Condition,,,,,,,,,
,High ferritin may reflect increased iron stores or inflammatory context.,,,pattern:iron_store_pattern,,Iron store abnormality pattern,Pattern,,BIOCHEM,iron_store_pattern,,panel_rule,,,,
iron_store_abnormality,,,,condition:iron_store_abnormality,,iron_store_abnormality,Condition,,,,,,,,,
inflammatory_iron_pattern,,,,condition:inflammatory_iron_pattern,,inflammatory_iron_pattern,Condition,,,,,,,,,
,"Low albumin suggests hypoalbuminemia, which may relate to inflammation, malnutrition, liver disease, or protein loss.",,,pattern:hypoalbuminemia_pattern,,Hypoalbuminemia pattern,Pattern,,BIOCHEM,hypoalbuminemia_pattern,,panel_rule,,,,
hypoalbuminemia,,,,condition:hypoalbuminemia,,hypoalbuminemia,Condition,,,,,,,,,
protein_loss_or_inflammation,,,,condition:protein_loss_or_inflammation,,protein_loss_or_inflammation,Condition,,,,,,,,,
,Anemia together with elevated creatinine may suggest renal-related anemia or kidney impairment context.,,,pattern:renal_anemia_pattern,,Renal-related anemia pattern,Pattern,,CROSS_PANEL,renal_anemia_pattern,,cross_panel_rule,,,,
renal_related_anemia,,,,condition:renal_related_anemia,,renal_related_anemia,Condition,,,,,,,,,
,Low hemoglobin with high ferritin may suggest inflammatory or iron-store related anemia context.,,,pattern:anemia_inflammation_pattern,,Anemia with inflammatory or iron-store pattern,Pattern,,CROSS_PANEL,anemia_inflammation_pattern,,cross_panel_rule,,,,
anemia_of_inflammation,,,,condition:anemia_of_inflammation,,anemia_of_inflammation,Condition,,,,,,,,,
iron_metabolism_abnormality,,,,condition:iron_metabolism_abnormality,,iron_metabolism_abnormality,Condition,,,,,,,,,
,"Leukocytosis with neutrophilia, optionally with biochemical stress markers, suggests infection or inflammatory stress context.",,,pattern:infection_stress_pattern,,Infection or inflammatory stress cross-panel pattern,Pattern,,CROSS_PANEL,infection_stress_pattern,,cross_panel_rule,,,,
infection_or_inflammatory_stress,,,,condition:infection_or_inflammatory_stress,,infection_or_inflammatory_stress,Condition,,,,,,,,,
,Combined glycemic and lipid abnormalities suggest metabolic cardiovascular risk.,,,pattern:metabolic_cardiovascular_risk_pattern,,Metabolic cardiovascular risk pattern,Pattern,,CROSS_PANEL,metabolic_cardiovascular_risk_pattern,,cross_panel_rule,,,,
metabolic_syndrome_risk,,,,condition:metabolic_syndrome_risk,,metabolic_syndrome_risk,Condition,,,,,,,,,
,,,,source:harrison_pdf,pdf_book,harrison.pdf,Source,,,,,,,,,
,,,interpretation,ev_cbc_003938_90c5468e41,,,Evidence,766,CBC,,3.55,harrison.pdf,,,"most patients with erythrocytosis have an elevated hematocrit (>52% in men, >48% in women) that is detected on a routine blood table 93-2 paraneoplastic hematologic syndromes syndrome proteins cancers typically associated with syndrome erythrocytosis erythropoietin renal cancers, hepatocarcinoma, cerebellar hemangioblastomas granulocytosis g-csf, gm-csf, il-6 lung cancer, gastrointestinal cancer, ovarian cancer, genitourinary cancer, hodgkin’s disease thrombocytosis il-6 lung cancer, gastrointestinal cancer, breast cancer, ovarian cancer, lymphoma eosinophilia il-5 lymphoma, leukemia, lung cancer thrombophlebitis unknown lung cancer, pancreatic cancer, gastrointestinal cancer, breast cancer, genitourinary cancer, ovarian cancer, prostate cancer, lymphoma abbreviations: g-csf, granulocyte colony-stimulating factor; gm-csf, granulocyte- macrophage colony-stimulating factor; il, interleukin.",1.0
eosinophilia,,,,condition:eosinophilia,,eosinophilia,Condition,,,,,,,,,
thrombocytosis,,,,condition:thrombocytosis,,thrombocytosis,Condition,,,,,,,,,
,,,interpretation,ev_cbc_008672_8730a1a5ec,,,Evidence,1684,CBC,,3.55,harrison.pdf,,,"1643 chapter 209 arthropod-borne and rodent-borne virus infections kinin activation is marked. the rising hematocrit reflects increas- ing vascular leakage. leukocytosis with a left shift develops, and thrombocytopenia continues. atypical lymphocytes—which, in fact, are activated cd8+ and, to a lesser extent, cd4+ t cells—circulate. proteinuria is marked, and the urine’s specific gravity falls to 1.010. renal circulation is congested and compromised from local and systemic circulatory changes resulting in necrosis of tubules, partic- ularly at the corticomedullary junction, and oliguria.",1.0
leukocytosis,,,,condition:leukocytosis,,leukocytosis,Condition,,,,,,,,,
,,,,source:clinical_hematology_pdf,pdf_book,clinical_hematology.pdf,Source,,,,,,,,,
,,,interpretation,ev_cbc_000249_e1421e008f,,,Evidence,142,CBC,,3.54,clinical_hematology.pdf,,,"they likely arise from abnormalities in blood viscosity, platelets, and leukocytes.11 multiple series have documented the incidence of major thrombosis to be 34% to 39% at diagnosis; 66% of these are arterial events and one third are venous.11-13 increased risk of thrombosis is associated with age >65 years, hematocrit >45%,14 leukocytosis of ≥15 × 109/l,15 and a history of thrombosis. patients at high risk of thrombosis and thrombocytosis (i.e., older individuals, patients with a history of thrombosis or atherosclerotic disease), should be treated with hydroxyurea to lower platelet counts to <400,000 cells/µl.16 while erythrocytosis distinguishes pv from the other mpn, only 20% of pv patients present with erythrocytosis alone, while 40% have trilineage hyperplasia at the onset of disease. pv can also present with isolated leukocytosis or thrombocytosis. laboratory abnormalities include elevated leukocyte alkaline phosphatase, lactate dehydrogenase (ldh), uric acid, and elevated serum b12 (in 40% of patients). secondary causes of an elevated red cell mass should also be excluded.",0.95
hyperuricemia,,,,condition:hyperuricemia,,hyperuricemia,Condition,,,,,,,,,
,,,interpretation,ev_cbc_000431_1967e97266,,,Evidence,233,CBC,,3.54,clinical_hematology.pdf,,,"red blood cells (rbcs): concomitant anemia partially offsets the hyperviscosity associated with severe hyperleukocytosis. thus, rbc transfusion should be avoided if possible when the wbc is higher than 100,000/μl. if transfusion is necessary, the hemoglobin and hematocrit should be increased slowly using small aliquots of packed rbcs until the peripheral blast count is reduced. irradiation: to reduce the risk of transfusion-associated graft-versus-host disease, all cellular blood products should be irradiated. leukodepletion: platelets and red cells should be leuko-reduced to decrease the risk of febrile reactions, hla-alloimmunization with subsequent platelet-refractoriness, and transmission of cytomegalovirus (cmv) infection.",0.95
anemia,,,,condition:anemia,,anemia,Condition,,,,,,,,,
,,,interpretation,ev_cbc_000949_03dfe2426b,,,Evidence,533,CBC,,3.46,clinical_hematology.pdf,,,"target of “de-ironing” therapy: several assays may be used ferritin < 30 μg/l ts < 30% decrease in red cell mcv to 3% to 5% below prephlebotomy level.23 monitoring parameters prephlebotomy fingerstick hemoglobin or hematocrit (+/− venous cbc) at each visit to avoid anemia ferritin every 4 to 8 weeks initially, then ferritin +/− ts every 1 to 2 treatments once ferritin <100 μg/l. safety guide: threshold hemoglobin for therapeutic bleed ≥ 12.5 g/dl (hematocrit ≥ 38%). in general, do not bleed below this level; defer therapy for 1 to 4 weeks until hemoglobin recovers. iron deficiency is not necessary during treatment; anemia should be avoided. general guide: for initial ferritin of 500 to 1,500, patients generally require 15 to 30 bleeds to achieve iron depletion. if initial ferritin is >2,000 μg/dl, it may require more than 40 to 50 bleeds. phase ii: preventing reaccumulation (maintenance) pace: 500 ml removed every 8 to 26 weeks (mean 10–12 weeks), depending on gender, weight, age, and dietary habits.",0.95
,,,interpretation,ev_cbc_016609_02360b8787,,,Evidence,3640,CBC,,3.36,harrison.pdf,,,"the venoms of many snake species can deplete coagulation factors and cause a decrease in platelet count or hematocrit. nevertheless, these components usually rebound within hours after administration of adequate antivenom. if the need for blood products is thought to be great (e.g., a dangerously low platelet count in a hemorrhaging patient), these products should be given only after adequate antivenom administration to avoid fueling ongoing consumptive coagulopathy. rhabdomyolysis should be managed in standard fashion with iv fluids and close monitoring of urine output. victims who develop acute renal failure should be evaluated by a nephrologist and referred for hemodialysis or peritoneal dialysis as needed.",1.0
coagulation_disorder,,,,condition:coagulation_disorder,,coagulation_disorder,Condition,,,,,,,,,
,,,interpretation,ev_cbc_000331_31ebee8f5a,,,Evidence,177,CBC,,3.54,clinical_hematology.pdf,,,"thalassemia trait is often mistaken for iron deficiency.8 in contrast to iron deficiency, β-thalassemia trait is associated with a normal red cell distribution width (rdw), basophilic stippling and targeting on the blood smear, and an elevated hb a2 on electrophoresis.",0.95
thalassemia,,,,condition:thalassemia,,thalassemia,Condition,,,,,,,,,
,,,interpretation,ev_cbc_000338_b711c41e7f,,,Evidence,179,CBC,,3.54,clinical_hematology.pdf,,,"laboratory features consistent with hemolysis include reticulocytosis, elevated lactate dehydrogenase (ldh), indirect hyperbilirubinemia, decreased serum haptoglobin, and, in severe cases, hemoglobinuria. a positive direct coomb’s test indicates immune-mediated hemolysis. examination of the peripheral smear may reveal characteristic red cell morphology. thrombocytopenia and renal impairment are additional features of hus. treatment of hemolysis should be directed toward the underlying cause, with transfusions reserved for severe anemia and cardiovascular compromise. immune hemolysis often requires corticosteroids and/or other immunosuppressive medications. the diagnosis of sickle cell disease is usually made during routine newborn screening by hb electrophoresis. children diagnosed with sickle cell disease should be cared for by practitioners with specific expertise in the management and prevention of its complications.11,12 consultation with a pediatric hematologist is strongly recommended.",0.95
hemolytic_anemia,,,,condition:hemolytic_anemia,,hemolytic_anemia,Condition,,,,,,,,,
,,,interpretation,ev_cbc_015384_48ea543961,,,Evidence,3287,CBC,,3.54,harrison.pdf,,,"■ ■x-linked sideroblastic anemia xlsa results from the deficient activity of the erythroid form of ala-synthase (ala-synthase 2) and is associated with ineffective ery- thropoiesis, weakness, and pallor. clinical features typically, males with xlsa develop refractory hemolytic anemia, pallor, and weakness during infancy. they have secondary hypersplenism, become iron overloaded, and can develop hemosiderosis. the severity depends on the level of residual erythroid ala-synthase activity and on the responsiveness of the specific muta- tion to pyridoxal 5′-phosphate supplementation (see below). peripheral blood smears reveal a hypochromic, microcytic anemia with striking anisocytosis, poikilocytosis, and polychromasia; the leukocytes and platelets appear normal. hemoglobin content is reduced, and the mean corpuscular volume and mean corpuscular hemoglobin concentration are decreased. patients with milder, later-onset disease have been reported recently. diagnosis bone marrow examination reveals hypercellularity with a left shift and megaloblastic erythropoiesis with an abnormal matu- ration. a variety of prussian blue–staining sideroblasts are observed. levels of urinary porphyrin precursors and of both urinary and fecal porphyrins are normal.",1.0
anisocytosis,,,,condition:anisocytosis,,anisocytosis,Condition,,,,,,,,,
bone_marrow_disorder,,,,condition:bone_marrow_disorder,,bone_marrow_disorder,Condition,,,,,,,,,
,,,interpretation,ev_cbc_011667_ff4abb788b,,,Evidence,2407,CBC,,3.53,harrison.pdf,,,"large vessels can be involved in antiphospholipid syndrome and may form the proximal nidus near the ostium for thrombosis of the table 317-1 criteria for establishing microangiopathic kidney injury associated with hematopoietic stem cell transplantation international working group blood and marrow transplant clinical trials network toxicity committee >4% schistocytes in the blood rbc fragmentation and at least 2 schistocytes per high-power field de novo, prolonged, or progressive thrombocytopenia concurrent increase in ldh above baseline a sudden and persistent increase in ldh negative direct and indirect coombs test decrease in hemoglobin or increased rbc transfusion requirement concurrent renal and/or neurologic dysfunction without other explanations decrease in haptoglobin concentration abbreviations: ldh, lactate dehydrogenase; rbc, red blood cell.",1.0
,,,interpretation,ev_cbc_000149_4df44cbd5d,,,Evidence,80,CBC,,3.52,clinical_hematology.pdf,,,"splenomegaly can be seen in those with inadequate transfusions or red cell alloimmunization, and is associated with worsening anemia, leukopenia, and thrombocytopenia. hemoglobin will typically drop about 1.5 g/dl/week in non- splenectomized individuals; in hypersplenism, this rate of decline will be higher and eventually there will be an inadequate rise in post-transfusion hemoglobin.",0.95
leukopenia,,,,condition:leukopenia,,leukopenia,Condition,,,,,,,,,
