confidence,id,provenance,relation,source_id,target_id
1.0,edge_000025,ontology,BELONGS_TO_PANEL,finding_concept:cbc:mcv:high,panel:cbc
1.0,edge_000026,ontology,OF_TEST,finding_concept:cbc:mcv:low,test:mcv
1.0,edge_000027,ontology,HAS_STATUS,finding_concept:cbc:mcv:low,status:low
1.0,edge_000028,ontology,BELONGS_TO_PANEL,finding_concept:cbc:mcv:low,panel:cbc
1.0,edge_000029,ontology,BELONGS_TO_PANEL,test:mch,panel:cbc
1.0,edge_000030,ontology,OF_TEST,finding_concept:cbc:mch:high,test:mch
1.0,edge_000031,ontology,HAS_STATUS,finding_concept:cbc:mch:high,status:high
1.0,edge_000032,ontology,BELONGS_TO_PANEL,finding_concept:cbc:mch:high,panel:cbc
1.0,edge_000033,ontology,OF_TEST,finding_concept:cbc:mch:low,test:mch
1.0,edge_000034,ontology,HAS_STATUS,finding_concept:cbc:mch:low,status:low
1.0,edge_000035,ontology,BELONGS_TO_PANEL,finding_concept:cbc:mch:low,panel:cbc
1.0,edge_000036,ontology,BELONGS_TO_PANEL,test:mchc,panel:cbc
1.0,edge_000037,ontology,OF_TEST,finding_concept:cbc:mchc:high,test:mchc
1.0,edge_000038,ontology,HAS_STATUS,finding_concept:cbc:mchc:high,status:high
1.0,edge_000039,ontology,BELONGS_TO_PANEL,finding_concept:cbc:mchc:high,panel:cbc
1.0,edge_000040,ontology,OF_TEST,finding_concept:cbc:mchc:low,test:mchc
1.0,edge_000041,ontology,HAS_STATUS,finding_concept:cbc:mchc:low,status:low
1.0,edge_000042,ontology,BELONGS_TO_PANEL,finding_concept:cbc:mchc:low,panel:cbc
1.0,edge_000043,ontology,BELONGS_TO_PANEL,test:rdw,panel:cbc
1.0,edge_000044,ontology,OF_TEST,finding_concept:cbc:rdw:high,test:rdw
1.0,edge_000045,ontology,HAS_STATUS,finding_concept:cbc:rdw:high,status:high
1.0,edge_000046,ontology,BELONGS_TO_PANEL,finding_concept:cbc:rdw:high,panel:cbc
1.0,edge_000047,ontology,OF_TEST,finding_concept:cbc:rdw:low,test:rdw
1.0,edge_000048,ontology,HAS_STATUS,finding_concept:cbc:rdw:low,status:low
1.0,edge_000049,ontology,BELONGS_TO_PANEL,finding_concept:cbc:rdw:low,panel:cbc
1.0,edge_000050,ontology,BELONGS_TO_PANEL,test:wbc,panel:cbc
1.0,edge_000051,ontology,OF_TEST,finding_concept:cbc:wbc:high,test:wbc
1.0,edge_000052,ontology,HAS_STATUS,finding_concept:cbc:wbc:high,status:high
1.0,edge_000053,ontology,BELONGS_TO_PANEL,finding_concept:cbc:wbc:high,panel:cbc
1.0,edge_000054,ontology,OF_TEST,finding_concept:cbc:wbc:low,test:wbc
1.0,edge_000055,ontology,HAS_STATUS,finding_concept:cbc:wbc:low,status:low
1.0,edge_000056,ontology,BELONGS_TO_PANEL,finding_concept:cbc:wbc:low,panel:cbc
1.0,edge_000057,ontology,BELONGS_TO_PANEL,test:neut,panel:cbc
1.0,edge_000058,ontology,OF_TEST,finding_concept:cbc:neut:high,test:neut
1.0,edge_000059,ontology,HAS_STATUS,finding_concept:cbc:neut:high,status:high
1.0,edge_000060,ontology,BELONGS_TO_PANEL,finding_concept:cbc:neut:high,panel:cbc
1.0,edge_000061,ontology,OF_TEST,finding_concept:cbc:neut:low,test:neut
1.0,edge_000062,ontology,HAS_STATUS,finding_concept:cbc:neut:low,status:low
1.0,edge_000063,ontology,BELONGS_TO_PANEL,finding_concept:cbc:neut:low,panel:cbc
1.0,edge_000064,ontology,BELONGS_TO_PANEL,test:lymph,panel:cbc
1.0,edge_000065,ontology,OF_TEST,finding_concept:cbc:lymph:high,test:lymph
1.0,edge_000066,ontology,HAS_STATUS,finding_concept:cbc:lymph:high,status:high
1.0,edge_000067,ontology,BELONGS_TO_PANEL,finding_concept:cbc:lymph:high,panel:cbc
1.0,edge_000068,ontology,OF_TEST,finding_concept:cbc:lymph:low,test:lymph
1.0,edge_000069,ontology,HAS_STATUS,finding_concept:cbc:lymph:low,status:low
1.0,edge_000070,ontology,BELONGS_TO_PANEL,finding_concept:cbc:lymph:low,panel:cbc
1.0,edge_000071,ontology,BELONGS_TO_PANEL,test:mono,panel:cbc
1.0,edge_000072,ontology,OF_TEST,finding_concept:cbc:mono:high,test:mono
1.0,edge_000073,ontology,HAS_STATUS,finding_concept:cbc:mono:high,status:high
1.0,edge_000074,ontology,BELONGS_TO_PANEL,finding_concept:cbc:mono:high,panel:cbc
1.0,edge_000075,ontology,OF_TEST,finding_concept:cbc:mono:low,test:mono
1.0,edge_000076,ontology,HAS_STATUS,finding_concept:cbc:mono:low,status:low
1.0,edge_000077,ontology,BELONGS_TO_PANEL,finding_concept:cbc:mono:low,panel:cbc
1.0,edge_000078,ontology,BELONGS_TO_PANEL,test:eos,panel:cbc
1.0,edge_000079,ontology,OF_TEST,finding_concept:cbc:eos:high,test:eos
1.0,edge_000080,ontology,HAS_STATUS,finding_concept:cbc:eos:high,status:high
1.0,edge_000081,ontology,BELONGS_TO_PANEL,finding_concept:cbc:eos:high,panel:cbc
1.0,edge_000082,ontology,OF_TEST,finding_concept:cbc:eos:low,test:eos
1.0,edge_000083,ontology,HAS_STATUS,finding_concept:cbc:eos:low,status:low
1.0,edge_000084,ontology,BELONGS_TO_PANEL,finding_concept:cbc:eos:low,panel:cbc
1.0,edge_000085,ontology,BELONGS_TO_PANEL,test:baso,panel:cbc
1.0,edge_000086,ontology,OF_TEST,finding_concept:cbc:baso:high,test:baso
1.0,edge_000087,ontology,HAS_STATUS,finding_concept:cbc:baso:high,status:high
1.0,edge_000088,ontology,BELONGS_TO_PANEL,finding_concept:cbc:baso:high,panel:cbc
1.0,edge_000089,ontology,OF_TEST,finding_concept:cbc:baso:low,test:baso
1.0,edge_000090,ontology,HAS_STATUS,finding_concept:cbc:baso:low,status:low
1.0,edge_000091,ontology,BELONGS_TO_PANEL,finding_concept:cbc:baso:low,panel:cbc
1.0,edge_000092,ontology,BELONGS_TO_PANEL,test:plt,panel:cbc
1.0,edge_000093,ontology,OF_TEST,finding_concept:cbc:plt:high,test:plt
1.0,edge_000094,ontology,HAS_STATUS,finding_concept:cbc:plt:high,status:high
1.0,edge_000095,ontology,BELONGS_TO_PANEL,finding_concept:cbc:plt:high,panel:cbc
1.0,edge_000096,ontology,OF_TEST,finding_concept:cbc:plt:low,test:plt
1.0,edge_000097,ontology,HAS_STATUS,finding_concept:cbc:plt:low,status:low
1.0,edge_000098,ontology,BELONGS_TO_PANEL,finding_concept:cbc:plt:low,panel:cbc
1.0,edge_000099,ontology,BELONGS_TO_PANEL,test:ig,panel:cbc
1.0,edge_000100,ontology,OF_TEST,finding_concept:cbc:ig:high,test:ig
1.0,edge_000101,ontology,HAS_STATUS,finding_concept:cbc:ig:high,status:high
1.0,edge_000102,ontology,BELONGS_TO_PANEL,finding_concept:cbc:ig:high,panel:cbc
1.0,edge_000103,ontology,OF_TEST,finding_concept:cbc:ig:low,test:ig
1.0,edge_000104,ontology,HAS_STATUS,finding_concept:cbc:ig:low,status:low
1.0,edge_000105,ontology,BELONGS_TO_PANEL,finding_concept:cbc:ig:low,panel:cbc
1.0,edge_000106,ontology,BELONGS_TO_PANEL,test:ast,panel:biochem
1.0,edge_000107,ontology,OF_TEST,finding_concept:biochem:ast:high,test:ast
1.0,edge_000108,ontology,HAS_STATUS,finding_concept:biochem:ast:high,status:high
1.0,edge_000109,ontology,BELONGS_TO_PANEL,finding_concept:biochem:ast:high,panel:biochem
1.0,edge_000110,ontology,OF_TEST,finding_concept:biochem:ast:low,test:ast
1.0,edge_000111,ontology,HAS_STATUS,finding_concept:biochem:ast:low,status:low
1.0,edge_000112,ontology,BELONGS_TO_PANEL,finding_concept:biochem:ast:low,panel:biochem
1.0,edge_000113,ontology,BELONGS_TO_PANEL,test:alt,panel:biochem
1.0,edge_000114,ontology,OF_TEST,finding_concept:biochem:alt:high,test:alt
1.0,edge_000115,ontology,HAS_STATUS,finding_concept:biochem:alt:high,status:high
1.0,edge_000116,ontology,BELONGS_TO_PANEL,finding_concept:biochem:alt:high,panel:biochem
1.0,edge_000117,ontology,OF_TEST,finding_concept:biochem:alt:low,test:alt
1.0,edge_000118,ontology,HAS_STATUS,finding_concept:biochem:alt:low,status:low
1.0,edge_000119,ontology,BELONGS_TO_PANEL,finding_concept:biochem:alt:low,panel:biochem
1.0,edge_000120,ontology,BELONGS_TO_PANEL,test:urea,panel:biochem
1.0,edge_000121,ontology,OF_TEST,finding_concept:biochem:urea:high,test:urea
1.0,edge_000122,ontology,HAS_STATUS,finding_concept:biochem:urea:high,status:high
1.0,edge_000123,ontology,BELONGS_TO_PANEL,finding_concept:biochem:urea:high,panel:biochem
1.0,edge_000124,ontology,OF_TEST,finding_concept:biochem:urea:low,test:urea
1.0,edge_000125,ontology,HAS_STATUS,finding_concept:biochem:urea:low,status:low
1.0,edge_000126,ontology,BELONGS_TO_PANEL,finding_concept:biochem:urea:low,panel:biochem
1.0,edge_000127,ontology,BELONGS_TO_PANEL,test:creatinine,panel:biochem
1.0,edge_000128,ontology,OF_TEST,finding_concept:biochem:creatinine:high,test:creatinine
1.0,edge_000129,ontology,HAS_STATUS,finding_concept:biochem:creatinine:high,status:high
1.0,edge_000130,ontology,BELONGS_TO_PANEL,finding_concept:biochem:creatinine:high,panel:biochem
1.0,edge_000131,ontology,OF_TEST,finding_concept:biochem:creatinine:low,test:creatinine
1.0,edge_000132,ontology,HAS_STATUS,finding_concept:biochem:creatinine:low,status:low
1.0,edge_000133,ontology,BELONGS_TO_PANEL,finding_concept:biochem:creatinine:low,panel:biochem
1.0,edge_000134,ontology,BELONGS_TO_PANEL,test:na,panel:biochem
1.0,edge_000135,ontology,OF_TEST,finding_concept:biochem:na:high,test:na
1.0,edge_000136,ontology,HAS_STATUS,finding_concept:biochem:na:high,status:high
1.0,edge_000137,ontology,BELONGS_TO_PANEL,finding_concept:biochem:na:high,panel:biochem
1.0,edge_000138,ontology,OF_TEST,finding_concept:biochem:na:low,test:na
1.0,edge_000139,ontology,HAS_STATUS,finding_concept:biochem:na:low,status:low
1.0,edge_000140,ontology,BELONGS_TO_PANEL,finding_concept:biochem:na:low,panel:biochem
1.0,edge_000141,ontology,BELONGS_TO_PANEL,test:k,panel:biochem
1.0,edge_000142,ontology,OF_TEST,finding_concept:biochem:k:high,test:k
1.0,edge_000143,ontology,HAS_STATUS,finding_concept:biochem:k:high,status:high
1.0,edge_000144,ontology,BELONGS_TO_PANEL,finding_concept:biochem:k:high,panel:biochem
1.0,edge_000145,ontology,OF_TEST,finding_concept:biochem:k:low,test:k
1.0,edge_000146,ontology,HAS_STATUS,finding_concept:biochem:k:low,status:low
1.0,edge_000147,ontology,BELONGS_TO_PANEL,finding_concept:biochem:k:low,panel:biochem
1.0,edge_000148,ontology,BELONGS_TO_PANEL,test:cl,panel:biochem
1.0,edge_000149,ontology,OF_TEST,finding_concept:biochem:cl:high,test:cl
1.0,edge_000150,ontology,HAS_STATUS,finding_concept:biochem:cl:high,status:high
1.0,edge_000151,ontology,BELONGS_TO_PANEL,finding_concept:biochem:cl:high,panel:biochem
1.0,edge_000152,ontology,OF_TEST,finding_concept:biochem:cl:low,test:cl
1.0,edge_000153,ontology,HAS_STATUS,finding_concept:biochem:cl:low,status:low
1.0,edge_000154,ontology,BELONGS_TO_PANEL,finding_concept:biochem:cl:low,panel:biochem
1.0,edge_000155,ontology,BELONGS_TO_PANEL,test:glucose,panel:biochem
1.0,edge_000156,ontology,OF_TEST,finding_concept:biochem:glucose:high,test:glucose
1.0,edge_000157,ontology,HAS_STATUS,finding_concept:biochem:glucose:high,status:high
1.0,edge_000158,ontology,BELONGS_TO_PANEL,finding_concept:biochem:glucose:high,panel:biochem
1.0,edge_000159,ontology,OF_TEST,finding_concept:biochem:glucose:low,test:glucose
1.0,edge_000160,ontology,HAS_STATUS,finding_concept:biochem:glucose:low,status:low
1.0,edge_000161,ontology,BELONGS_TO_PANEL,finding_concept:biochem:glucose:low,panel:biochem
1.0,edge_000162,ontology,BELONGS_TO_PANEL,test:hba1c,panel:biochem
1.0,edge_000163,ontology,OF_TEST,finding_concept:biochem:hba1c:high,test:hba1c
1.0,edge_000164,ontology,HAS_STATUS,finding_concept:biochem:hba1c:high,status:high
1.0,edge_000165,ontology,BELONGS_TO_PANEL,finding_concept:biochem:hba1c:high,panel:biochem
1.0,edge_000166,ontology,OF_TEST,finding_concept:biochem:hba1c:low,test:hba1c
1.0,edge_000167,ontology,HAS_STATUS,finding_concept:biochem:hba1c:low,status:low
1.0,edge_000168,ontology,BELONGS_TO_PANEL,finding_concept:biochem:hba1c:low,panel:biochem
1.0,edge_000169,ontology,BELONGS_TO_PANEL,test:cholesterol,panel:biochem
1.0,edge_000170,ontology,OF_TEST,finding_concept:biochem:cholesterol:high,test:cholesterol
1.0,edge_000171,ontology,HAS_STATUS,finding_concept:biochem:cholesterol:high,status:high
1.0,edge_000172,ontology,BELONGS_TO_PANEL,finding_concept:biochem:cholesterol:high,panel:biochem
1.0,edge_000173,ontology,OF_TEST,finding_concept:biochem:cholesterol:low,test:cholesterol
1.0,edge_000174,ontology,HAS_STATUS,finding_concept:biochem:cholesterol:low,status:low
1.0,edge_000175,ontology,BELONGS_TO_PANEL,finding_concept:biochem:cholesterol:low,panel:biochem
1.0,edge_000176,ontology,BELONGS_TO_PANEL,test:triglyceride,panel:biochem
1.0,edge_000177,ontology,OF_TEST,finding_concept:biochem:triglyceride:high,test:triglyceride
1.0,edge_000178,ontology,HAS_STATUS,finding_concept:biochem:triglyceride:high,status:high
1.0,edge_000179,ontology,BELONGS_TO_PANEL,finding_concept:biochem:triglyceride:high,panel:biochem
1.0,edge_000180,ontology,OF_TEST,finding_concept:biochem:triglyceride:low,test:triglyceride
1.0,edge_000181,ontology,HAS_STATUS,finding_concept:biochem:triglyceride:low,status:low
1.0,edge_000182,ontology,BELONGS_TO_PANEL,finding_concept:biochem:triglyceride:low,panel:biochem
1.0,edge_000183,ontology,BELONGS_TO_PANEL,test:hdl_c,panel:biochem
1.0,edge_000184,ontology,OF_TEST,finding_concept:biochem:hdl_c:high,test:hdl_c
1.0,edge_000185,ontology,HAS_STATUS,finding_concept:biochem:hdl_c:high,status:high
1.0,edge_000186,ontology,BELONGS_TO_PANEL,finding_concept:biochem:hdl_c:high,panel:biochem
1.0,edge_000187,ontology,OF_TEST,finding_concept:biochem:hdl_c:low,test:hdl_c
1.0,edge_000188,ontology,HAS_STATUS,finding_concept:biochem:hdl_c:low,status:low
1.0,edge_000189,ontology,BELONGS_TO_PANEL,finding_concept:biochem:hdl_c:low,panel:biochem
1.0,edge_000190,ontology,BELONGS_TO_PANEL,test:ldl_c,panel:biochem
1.0,edge_000191,ontology,OF_TEST,finding_concept:biochem:ldl_c:high,test:ldl_c
1.0,edge_000192,ontology,HAS_STATUS,finding_concept:biochem:ldl_c:high,status:high
1.0,edge_000193,ontology,BELONGS_TO_PANEL,finding_concept:biochem:ldl_c:high,panel:biochem
1.0,edge_000194,ontology,OF_TEST,finding_concept:biochem:ldl_c:low,test:ldl_c
1.0,edge_000195,ontology,HAS_STATUS,finding_concept:biochem:ldl_c:low,status:low
1.0,edge_000196,ontology,BELONGS_TO_PANEL,finding_concept:biochem:ldl_c:low,panel:biochem
1.0,edge_000197,ontology,BELONGS_TO_PANEL,test:ck_mb,panel:biochem
1.0,edge_000198,ontology,OF_TEST,finding_concept:biochem:ck_mb:high,test:ck_mb
1.0,edge_000199,ontology,HAS_STATUS,finding_concept:biochem:ck_mb:high,status:high
1.0,edge_000200,ontology,BELONGS_TO_PANEL,finding_concept:biochem:ck_mb:high,panel:biochem
1.0,edge_000201,ontology,OF_TEST,finding_concept:biochem:ck_mb:low,test:ck_mb
1.0,edge_000202,ontology,HAS_STATUS,finding_concept:biochem:ck_mb:low,status:low
1.0,edge_000203,ontology,BELONGS_TO_PANEL,finding_concept:biochem:ck_mb:low,panel:biochem
1.0,edge_000204,ontology,BELONGS_TO_PANEL,test:troponin_t,panel:biochem
1.0,edge_000205,ontology,OF_TEST,finding_concept:biochem:troponin_t:high,test:troponin_t
1.0,edge_000206,ontology,HAS_STATUS,finding_concept:biochem:troponin_t:high,status:high
1.0,edge_000207,ontology,BELONGS_TO_PANEL,finding_concept:biochem:troponin_t:high,panel:biochem
1.0,edge_000208,ontology,OF_TEST,finding_concept:biochem:troponin_t:low,test:troponin_t
1.0,edge_000209,ontology,HAS_STATUS,finding_concept:biochem:troponin_t:low,status:low
1.0,edge_000210,ontology,BELONGS_TO_PANEL,finding_concept:biochem:troponin_t:low,panel:biochem
1.0,edge_000211,ontology,BELONGS_TO_PANEL,test:pro_bnp,panel:biochem
1.0,edge_000212,ontology,OF_TEST,finding_concept:biochem:pro_bnp:high,test:pro_bnp
1.0,edge_000213,ontology,HAS_STATUS,finding_concept:biochem:pro_bnp:high,status:high
1.0,edge_000214,ontology,BELONGS_TO_PANEL,finding_concept:biochem:pro_bnp:high,panel:biochem
1.0,edge_000215,ontology,OF_TEST,finding_concept:biochem:pro_bnp:low,test:pro_bnp
1.0,edge_000216,ontology,HAS_STATUS,finding_concept:biochem:pro_bnp:low,status:low
1.0,edge_000217,ontology,BELONGS_TO_PANEL,finding_concept:biochem:pro_bnp:low,panel:biochem
1.0,edge_000218,ontology,BELONGS_TO_PANEL,test:ferritin,panel:biochem
1.0,edge_000219,ontology,OF_TEST,finding_concept:biochem:ferritin:high,test:ferritin
1.0,edge_000220,ontology,HAS_STATUS,finding_concept:biochem:ferritin:high,status:high
1.0,edge_000221,ontology,BELONGS_TO_PANEL,finding_concept:biochem:ferritin:high,panel:biochem
1.0,edge_000222,ontology,OF_TEST,finding_concept:biochem:ferritin:low,test:ferritin
1.0,edge_000223,ontology,HAS_STATUS,finding_concept:biochem:ferritin:low,status:low
1.0,edge_000224,ontology,BELONGS_TO_PANEL,finding_concept:biochem:ferritin:low,panel:biochem
1.0,edge_000225,ontology,BELONGS_TO_PANEL,test:albumin,panel:biochem
1.0,edge_000226,ontology,OF_TEST,finding_concept:biochem:albumin:high,test:albumin
1.0,edge_000227,ontology,HAS_STATUS,finding_concept:biochem:albumin:high,status:high
1.0,edge_000228,ontology,BELONGS_TO_PANEL,finding_concept:biochem:albumin:high,panel:biochem
1.0,edge_000229,ontology,OF_TEST,finding_concept:biochem:albumin:low,test:albumin
1.0,edge_000230,ontology,HAS_STATUS,finding_concept:biochem:albumin:low,status:low
1.0,edge_000231,ontology,BELONGS_TO_PANEL,finding_concept:biochem:albumin:low,panel:biochem
1.0,edge_000232,ontology,BELONGS_TO_PANEL,test:calcium_ion,panel:biochem
1.0,edge_000233,ontology,OF_TEST,finding_concept:biochem:calcium_ion:high,test:calcium_ion
1.0,edge_000234,ontology,HAS_STATUS,finding_concept:biochem:calcium_ion:high,status:high
1.0,edge_000235,ontology,BELONGS_TO_PANEL,finding_concept:biochem:calcium_ion:high,panel:biochem
1.0,edge_000236,ontology,OF_TEST,finding_concept:biochem:calcium_ion:low,test:calcium_ion
1.0,edge_000237,ontology,HAS_STATUS,finding_concept:biochem:calcium_ion:low,status:low
1.0,edge_000238,ontology,BELONGS_TO_PANEL,finding_concept:biochem:calcium_ion:low,panel:biochem
1.0,edge_000239,ontology,BELONGS_TO_PANEL,test:pth,panel:biochem
1.0,edge_000240,ontology,OF_TEST,finding_concept:biochem:pth:high,test:pth
1.0,edge_000241,ontology,HAS_STATUS,finding_concept:biochem:pth:high,status:high
1.0,edge_000242,ontology,BELONGS_TO_PANEL,finding_concept:biochem:pth:high,panel:biochem
1.0,edge_000243,ontology,OF_TEST,finding_concept:biochem:pth:low,test:pth
1.0,edge_000244,ontology,HAS_STATUS,finding_concept:biochem:pth:low,status:low
1.0,edge_000245,ontology,BELONGS_TO_PANEL,finding_concept:biochem:pth:low,panel:biochem
1.0,edge_000246,ontology,BELONGS_TO_PANEL,test:uric_acid,panel:biochem
1.0,edge_000247,ontology,OF_TEST,finding_concept:biochem:uric_acid:high,test:uric_acid
1.0,edge_000248,ontology,HAS_STATUS,finding_concept:biochem:uric_acid:high,status:high
1.0,edge_000249,ontology,BELONGS_TO_PANEL,finding_concept:biochem:uric_acid:high,panel:biochem
1.0,edge_000250,ontology,OF_TEST,finding_concept:biochem:uric_acid:low,test:uric_acid
1.0,edge_000251,ontology,HAS_STATUS,finding_concept:biochem:uric_acid:low,status:low
1.0,edge_000252,ontology,BELONGS_TO_PANEL,finding_concept:biochem:uric_acid:low,panel:biochem
1.0,edge_000253,panel_rule,REQUIRED_FOR_PATTERN,finding_concept:cbc:hgb:low,pattern:microcytic_anemia_pattern
1.0,edge_000254,panel_rule,REQUIRED_FOR_PATTERN,finding_concept:cbc:mcv:low,pattern:microcytic_anemia_pattern
0.6,edge_000255,panel_rule,OPTIONAL_FOR_PATTERN,finding_concept:cbc:rdw:high,pattern:microcytic_anemia_pattern
0.6,edge_000256,panel_rule,OPTIONAL_FOR_PATTERN,finding_concept:cbc:mch:low,pattern:microcytic_anemia_pattern
0.6,edge_000257,panel_rule,OPTIONAL_FOR_PATTERN,finding_concept:cbc:mchc:low,pattern:microcytic_anemia_pattern
0.85,edge_000258,microcytic_anemia_pattern,CO_OCCURS_WITH,finding_concept:cbc:hgb:low,finding_concept:cbc:mcv:low
0.85,edge_000259,microcytic_anemia_pattern,CO_OCCURS_WITH,finding_concept:cbc:mcv:low,finding_concept:cbc:hgb:low
0.85,edge_000260,panel_rule,SUGGESTS_CONDITION,pattern:microcytic_anemia_pattern,condition:microcytic_anemia
0.85,edge_000261,panel_rule,SUGGESTS_CONDITION,pattern:microcytic_anemia_pattern,condition:iron_deficiency_anemia
1.0,edge_000262,panel_rule,REQUIRED_FOR_PATTERN,finding_concept:cbc:hgb:low,pattern:macrocytic_anemia_pattern
1.0,edge_000263,panel_rule,REQUIRED_FOR_PATTERN,finding_concept:cbc:mcv:high,pattern:macrocytic_anemia_pattern
0.85,edge_000264,macrocytic_anemia_pattern,CO_OCCURS_WITH,finding_concept:cbc:hgb:low,finding_concept:cbc:mcv:high
0.85,edge_000265,macrocytic_anemia_pattern,CO_OCCURS_WITH,finding_concept:cbc:mcv:high,finding_concept:cbc:hgb:low
0.85,edge_000266,panel_rule,SUGGESTS_CONDITION,pattern:macrocytic_anemia_pattern,condition:macrocytic_anemia
0.85,edge_000267,panel_rule,SUGGESTS_CONDITION,pattern:macrocytic_anemia_pattern,condition:b12_or_folate_related_anemia
1.0,edge_000268,panel_rule,REQUIRED_FOR_PATTERN,finding_concept:cbc:wbc:high,pattern:bacterial_infection_pattern
1.0,edge_000269,panel_rule,REQUIRED_FOR_PATTERN,finding_concept:cbc:neut:high,pattern:bacterial_infection_pattern
0.6,edge_000270,panel_rule,OPTIONAL_FOR_PATTERN,finding_concept:cbc:ig:high,pattern:bacterial_infection_pattern
0.85,edge_000271,bacterial_infection_pattern,CO_OCCURS_WITH,finding_concept:cbc:wbc:high,finding_concept:cbc:neut:high
0.85,edge_000272,bacterial_infection_pattern,CO_OCCURS_WITH,finding_concept:cbc:neut:high,finding_concept:cbc:wbc:high
0.85,edge_000273,panel_rule,SUGGESTS_CONDITION,pattern:bacterial_infection_pattern,condition:bacterial_infection
0.85,edge_000274,panel_rule,SUGGESTS_CONDITION,pattern:bacterial_infection_pattern,condition:infection
0.85,edge_000275,panel_rule,SUGGESTS_CONDITION,pattern:bacterial_infection_pattern,condition:left_shift_stress_response
1.0,edge_000276,panel_rule,REQUIRED_FOR_PATTERN,finding_concept:cbc:lymph:high,pattern:viral_infection_pattern
0.6,edge_000277,panel_rule,OPTIONAL_FOR_PATTERN,finding_concept:cbc:wbc:low,pattern:viral_infection_pattern
0.85,edge_000278,panel_rule,SUGGESTS_CONDITION,pattern:viral_infection_pattern,condition:viral_infection
0.85,edge_000279,panel_rule,SUGGESTS_CONDITION,pattern:viral_infection_pattern,condition:lymphocytosis
1.0,edge_000280,panel_rule,REQUIRED_FOR_PATTERN,finding_concept:cbc:plt:low,pattern:thrombocytopenia_pattern
0.85,edge_000281,panel_rule,SUGGESTS_CONDITION,pattern:thrombocytopenia_pattern,condition:thrombocytopenia
0.85,edge_000282,panel_rule,SUGGESTS_CONDITION,pattern:thrombocytopenia_pattern,condition:bleeding_risk
1.0,edge_000283,panel_rule,REQUIRED_FOR_PATTERN,finding_concept:cbc:hgb:high,pattern:polycythemia_pattern
1.0,edge_000284,panel_rule,REQUIRED_FOR_PATTERN,finding_concept:cbc:hct:high,pattern:polycythemia_pattern
0.6,edge_000285,panel_rule,OPTIONAL_FOR_PATTERN,finding_concept:cbc:rbc:high,pattern:polycythemia_pattern
0.85,edge_000286,polycythemia_pattern,CO_OCCURS_WITH,finding_concept:cbc:hgb:high,finding_concept:cbc:hct:high
0.85,edge_000287,polycythemia_pattern,CO_OCCURS_WITH,finding_concept:cbc:hct:high,finding_concept:cbc:hgb:high
0.85,edge_000288,panel_rule,SUGGESTS_CONDITION,pattern:polycythemia_pattern,condition:polycythemia
0.85,edge_000289,panel_rule,SUGGESTS_CONDITION,pattern:polycythemia_pattern,condition:erythrocytosis
1.0,edge_000290,panel_rule,REQUIRED_FOR_PATTERN,finding_concept:biochem:alt:high,pattern:hepatocellular_injury_pattern
1.0,edge_000291,panel_rule,REQUIRED_FOR_PATTERN,finding_concept:biochem:ast:high,pattern:hepatocellular_injury_pattern
0.85,edge_000292,hepatocellular_injury_pattern,CO_OCCURS_WITH,finding_concept:biochem:alt:high,finding_concept:biochem:ast:high
